
----------- test 1 -----------------

exact exp(-29.50)=1.542811203192e-13,  your_exp=1.542811203192e-13,  abs_err=2.52435e-29,  rel_err=1.6362046707e-16
exact exp(-31.50)=2.087967911646e-14,  your_exp=2.087967911646e-14,  abs_err=6.31089e-30,  rel_err=3.0225020253e-16
exact exp(-33.50)=2.825757287116e-15,  your_exp=2.825757287116e-15,  abs_err=1.18329e-30,  rel_err=4.1875194421e-16
exact exp(-35.50)=3.824246628097e-16,  your_exp=3.824246628097e-16,  abs_err=1.47911e-31,  rel_err=3.8677270091e-16
exact exp(-37.50)=5.175555005802e-17,  your_exp=5.175555005802e-17,  abs_err=6.16298e-33,  rel_err=1.1907854936e-16
exact exp(-39.50)=7.004352026169e-18,  your_exp=7.004352026169e-18,  abs_err=1.54074e-33,  rel_err=2.1996952034e-16
exact exp(-41.50)=9.479359653505e-19,  your_exp=9.479359653505e-19,  abs_err=7.70372e-34,  rel_err=8.1268356293e-16
exact exp(-43.50)=1.282891823609e-19,  your_exp=1.282891823609e-19,  abs_err=4.81482e-35,  rel_err=3.7531027733e-16
exact exp(-45.50)=1.736205283100e-20,  your_exp=1.736205283100e-20,  abs_err=3.00927e-36,  rel_err=1.7332429335e-16
exact exp(-47.50)=2.349698337453e-21,  your_exp=2.349698337453e-21,  abs_err=1.50463e-36,  rel_err=6.4035146345e-16
exact exp(-49.50)=3.179970900198e-22,  your_exp=3.179970900198e-22,  abs_err=3.76158e-37,  rel_err=1.1828982216e-15
exact exp(-51.50)=4.303622624624e-23,  your_exp=4.303622624624e-23,  abs_err=5.87747e-39,  rel_err=1.3657033311e-16

 Your code passed all tests on function values exp(x)

 Your code passed all tests on the # of terms used
